Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2023-02-24
.abogado,generic,Top Level Domain Holdings Limited,2023-02-24
.academy,generic,"Half Oaks, LLC",2023-02-24
.accountant,generic,dot Accountant Limited,2023-02-24
.accountants,generic,"Knob Town, LLC",2023-02-24
.active,generic,"The Active Network, Inc",2023-02-24
.actor,generic,United TLD Holdco Ltd.,2023-02-24
.ads,generic,Charleston Road Registry Inc.,2023-02-24
.adult,generic,ICM Registry AD LLC,2023-02-24
.afl,generic,Australian Football League,2023-02-24
.agency,generic,"Steel Falls, LLC",2023-02-24
.airforce,generic,United TLD Holdco Ltd.,2023-02-24
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2023-02-24
.alsace,generic,REGION D ALSACE,2023-02-24
.amsterdam,generic,Gemeente Amsterdam,2023-02-24
.android,generic,Charleston Road Registry Inc.,2023-02-24
.apartments,generic,"June Maple, LLC",2023-02-24
.aquarelle,generic,Aquarelle.com,2023-02-24
.archi,generic,STARTING DOT LIMITED,2023-02-24
.army,generic,United TLD Holdco Ltd.,2023-02-24
.associates,generic,"Baxter Hill, LLC",2023-02-24
.attorney,generic,"United TLD Holdco, Ltd",2023-02-24
.auction,generic,"United TLD HoldCo, Ltd.",2023-02-24
.audio,generic,"Uniregistry, Corp.",2023-02-24
.autos,generic,"DERAutos, LLC",2023-02-24
.axa,generic,AXA SA,2023-02-24
.band,generic,"United TLD Holdco, Ltd",2023-02-24
.bank,generic,"fTLD Registry Services, LLC",2023-02-24
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-02-24
.barclaycard,generic,Barclays Bank PLC,2023-02-24
.barclays,generic,Barclays Bank PLC,2023-02-24
.bargains,generic,"Half Hallow, LLC",2023-02-24
.bauhaus,generic,Werkhaus GmbH,2023-02-24
.bayern,generic,Bayern Connect GmbH,2023-02-24
.bbc,generic,British Broadcasting Corporation,2023-02-24
.beer,generic,Top Level Domain Holdings Limited,2023-02-24
.berlin,generic,dotBERLIN GmbH & Co. KG,2023-02-24
.best,generic,BestTLD Pty Ltd,2023-02-24
.bid,generic,dot Bid Limited,2023-02-24
.bike,generic,"Grand Hollow, LLC",2023-02-24
.bingo,generic,"Sand Cedar, LLC",2023-02-24
.bio,generic,STARTING DOT LIMITED,2023-02-24
.black,generic,Afilias Limited,2023-02-24
.blackfriday,generic,"Uniregistry, Corp.",2023-02-24
.bloomberg,generic,Bloomberg IP Holdings LLC,2023-02-24
.blue,generic,Afilias Limited,2023-02-24
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2023-02-24
.bnpparibas,generic,BNP Paribas,2023-02-24
.boats,generic,"DERBoats, LLC",2023-02-24
.bond,generic,Bond University Limited,2023-02-24
.boo,generic,Charleston Road Registry Inc.,2023-02-24
.boutique,generic,"Over Galley, LLC",2023-02-24
.brussels,generic,DNS.be vzw,2023-02-24
.budapest,generic,Top Level Domain Holdings Limited,2023-02-24
.build,generic,Plan Bee LLC,2023-02-24
.builders,generic,"Atomic Madison, LLC",2023-02-24
.business,generic,"Spring Cross, LLC",2023-02-24
.buzz,generic,DOTSTRATEGY CO.,2023-02-24
.bzh,generic,Association www.bzh,2023-02-24
.cab,generic,"Half Sunset, LLC",2023-02-24
.cafe,generic,"Pioneer Canyon, LLC",2023-02-24
.cal,generic,Charleston Road Registry Inc.,2023-02-24
.camera,generic,"Atomic Maple, LLC",2023-02-24
.camp,generic,"Delta Dynamite, LLC",2023-02-24
.cancerresearch,generic,Australian Cancer Research Foundation,2023-02-24
.canon,generic,Canon Inc.,2023-02-24
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-02-24
.capital,generic,"Delta Mill, LLC",2023-02-24
.caravan,generic,"Caravan International, Inc.",2023-02-24
.cards,generic,"Foggy Hollow, LLC",2023-02-24
.care,generic,"Goose Cross, LLC",2023-02-24
.career,generic,dotCareer LLC,2023-02-24
.careers,generic,"Wild Corner, LLC",2023-02-24
.cartier,generic,Richemont DNS Inc.,2023-02-24
.casa,generic,Top Level Domain Holdings Limited,2023-02-24
.cash,generic,"Delta Lake, LLC",2023-02-24
.casino,generic,"Binky Sky, LLC",2023-02-24
.catering,generic,New Falls. LLC,2023-02-24
.cbn,generic,"The Christian Broadcasting Network, Inc.",2023-02-24
.center,generic,"Tin Mill, LLC",2023-02-24
.ceo,generic,CEOTLD Pty Ltd,2023-02-24
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2023-02-24
.cfd,generic,DOTCFD REGISTRY LTD,2023-02-24
.channel,generic,Charleston Road Registry Inc.,2023-02-24
.chat,generic,"Sand Fields, LLC",2023-02-24
.cheap,generic,"Sand Cover, LLC",2023-02-24
.chloe,generic,Richemont DNS Inc.,2023-02-24
.christmas,generic,"Uniregistry, Corp.",2023-02-24
.chrome,generic,Charleston Road Registry Inc.,2023-02-24
.church,generic,"Holly Fileds, LLC",2023-02-24
.citic,generic,CITIC Group Corporation,2023-02-24
.city,generic,"Snow Sky, LLC",2023-02-24
.claims,generic,"Black Corner, LLC",2023-02-24
.cleaning,generic,"Fox Shadow, LLC",2023-02-24
.click,generic,"Uniregistry, Corp.",2023-02-24
.clinic,generic,"Goose Park, LLC",2023-02-24
.clothing,generic,"Steel Lake, LLC",2023-02-24
.club,generic,".CLUB DOMAINS, LLC",2023-02-24
.coach,generic,"Koko Island, LLC",2023-02-24
.codes,generic,"Puff Willow, LLC",2023-02-24
.coffee,generic,"Trixy Cover, LLC",2023-02-24
.college,generic,XYZ.COM LLC,2023-02-24
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH,2023-02-24
.com,generic,VeriSign Global Registry Services,2023-02-24
.community,generic,"Fox Orchard, LLC",2023-02-24
.company,generic,"Silver Avenue, LLC",2023-02-24
.computer,generic,"Pine Mill, LLC",2023-02-24
.condos,generic,"Pine House, LLC",2023-02-24
.construction,generic,"Fox Dynamite, LLC",2023-02-24
.consulting,generic,"United TLD Holdco, LTD.",2023-02-24
.contractors,generic,"Magic Woods, LLC",2023-02-24
.cooking,generic,Top Level Domain Holdings Limited,2023-02-24
.cool,generic,"Koko Lake, LLC",2023-02-24
.country,generic,Top Level Domain Holdings Limited,2023-02-24
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2023-02-24
.credit,generic,"Snow Shadow, LLC",2023-02-24
.creditcard,generic,"Binky Frostbite, LLC",2023-02-24
.cricket,generic,dot Cricket Limited,2023-02-24
.crs,generic,Federated Co-operatives Limited,2023-02-24
.cruises,generic,"Spring Way, LLC",2023-02-24
.cuisinella,generic,SALM S.A.S.,2023-02-24
.cymru,generic,Nominet UK,2023-02-24
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2023-02-24
.dabur,generic,Dabur India Limited,2023-02-24
.dad,generic,Charleston Road Registry Inc.,2023-02-24
.dance,generic,United TLD Holdco Ltd.,2023-02-24
.date,generic,dot Date Limited,2023-02-24
.dating,generic,"Pine Fest, LLC",2023-02-24
.datsun,generic,"NISSAN MOTOR CO., LTD.",2023-02-24
.day,generic,Charleston Road Registry Inc.,2023-02-24
.dclk,generic,Charleston Road Registry Inc.,2023-02-24
.deals,generic,"Sand Sunset, LLC",2023-02-24
.degree,generic,"United TLD Holdco, Ltd",2023-02-24
.delivery,generic,"Steel Station, LLC",2023-02-24
.democrat,generic,United TLD Holdco Ltd.,2023-02-24
.dental,generic,"Tin Birch, LLC",2023-02-24
.dentist,generic,"United TLD Holdco, Ltd",2023-02-24
.desi,generic,Desi Networks LLC,2023-02-24
.design,generic,"Top Level Design, LLC",2023-02-24
.dev,generic,Charleston Road Registry Inc.,2023-02-24
.diamonds,generic,"John Edge, LLC",2023-02-24
.diet,generic,"Uniregistry, Corp.",2023-02-24
.digital,generic,"Dash Park, LLC",2023-02-24
.direct,generic,"Half Trail, LLC",2023-02-24
.directory,generic,"Extra Madison, LLC",2023-02-24
.discount,generic,"Holly Hill, LLC",2023-02-24
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2023-02-24
.docs,generic,Charleston Road Registry Inc.,2023-02-24
.doha,generic,Communications Regulatory Authority (CRA),2023-02-24
.domains,generic,"Sugar Cross, LLC",2023-02-24
.doosan,generic,Doosan Corporation,2023-02-24
.download,generic,dot Support Limited,2023-02-24
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-02-24
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-02-24
.eat,generic,Charleston Road Registry Inc.,2023-02-24
.education,generic,"Brice Way, LLC",2023-02-24
.email,generic,"Spring Madison, LLC",2023-02-24
.emerck,generic,Merck KGaA,2023-02-24
.energy,generic,"Binky Birch, LLC",2023-02-24
.engineer,generic,United TLD Holdco Ltd.,2023-02-24
.engineering,generic,Romeo Canyon,2023-02-24
.enterprises,generic,"Snow Oaks, LLC",2023-02-24
.epson,generic,Seiko Epson Corporation,2023-02-24
.equipment,generic,"Corn Station, LLC",2023-02-24
.erni,generic,ERNI Group Holding AG,2023-02-24
.esq,generic,Charleston Road Registry Inc.,2023-02-24
.estate,generic,"Trixy Park, LLC",2023-02-24
.eurovision,generic,European Broadcasting Union (EBU),2023-02-24
.eus,generic,Puntueus Fundazioa,2023-02-24
.events,generic,"Pioneer Maple, LLC",2023-02-24
.everbank,generic,EverBank,2023-02-24
.exchange,generic,"Spring Falls, LLC",2023-02-24
.expert,generic,"Magic Pass, LLC",2023-02-24
.exposed,generic,"Victor Beach, LLC",2023-02-24
.express,generic,"Sea Sunset, LLC",2023-02-24
.fail,generic,"Atomic Pipe, LLC",2023-02-24
.faith,generic,dot Faith Limited,2023-02-24
.fan,generic,Asiamix Digital Ltd,2023-02-24
.fans,generic,Asiamix Digital Limited,2023-02-24
.farm,generic,"Just Maple, LLC",2023-02-24
.fashion,generic,Top Level Domain Holdings Limited,2023-02-24
.feedback,generic,"Top Level Spectrum, Inc.",2023-02-24
.film,generic,Motion Picture Domain Registry Pty Ltd,2023-02-24
.finance,generic,"Cotton Cypress, LLC",2023-02-24
.financial,generic,"Just Cover, LLC",2023-02-24
.firmdale,generic,Firmdale Holdings Limited,2023-02-24
.fish,generic,"Fox Woods, LLC",2023-02-24
.fishing,generic,Top Level Domain Holdings Limited,2023-02-24
.fit,generic,Minds + Machines Group Limited,2023-02-24
.fitness,generic,"Brice Orchard, LLC",2023-02-24
.flights,generic,"Fox Station, LLC",2023-02-24
.florist,generic,"Half Cypress, LLC",2023-02-24
.flowers,generic,"Uniregistry, Corp.",2023-02-24
.flsmidth,generic,FLSmidth A/S,2023-02-24
.fly,generic,Charleston Road Registry Inc.,2023-02-24
.foo,generic,Charleston Road Registry Inc.,2023-02-24
.football,generic,"Foggy Farms, LLC",2023-02-24
.forex,generic,DOTFOREX REGISTRY LTD,2023-02-24
.forsale,generic,"United TLD Holdco, LLC",2023-02-24
.foundation,generic,"John Dale, LLC",2023-02-24
.frl,generic,FRLregistry B.V.,2023-02-24
.frogans,generic,OP3FT,2023-02-24
.fund,generic,"John Castle, LLC",2023-02-24
.furniture,generic,"Lone Fields, LLC",2023-02-24
.futbol,generic,"United TLD Holdco, Ltd.",2023-02-24
.gal,generic,Asociación puntoGAL,2023-02-24
.gallery,generic,"Sugar House, LLC",2023-02-24
.garden,generic,Top Level Domain Holdings Limited,2023-02-24
.gbiz,generic,Charleston Road Registry Inc.,2023-02-24
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2023-02-24
.gent,generic,COMBELL GROUP NV/SA,2023-02-24
.ggee,generic,"GMO Internet, Inc.",2023-02-24
